Símbolo,Preço,Variação %,Volume,Volume Rel,Valor de mercado,P/L,"EPS dil
TTM","Crescimento EPS dil.
12M Ano a Ano","Div. yield %
TTM",Setor,Classificação dos Analistas
AALR3Allianca Saude e Participacoes SA - ALLIARD,Preço,Variação %,Volume,Volume Rel,Valor de mercado,P/L,"EPS dil
TTM","Crescimento EPS dil.
12M Ano a Ano","Div. yield %
TTM",Setor,Classificação dos Analistas
ABEV3Ambev SAD,"4,45 BRL","0,0183","2,4 K","0,04","665,41 M BRL",—,"−0,63 BRL","0,7185","0,00%",Serviços de Saúde,Neutro
AERI3Aeris Industria e Comercio de Equipamentos para Geracao deEnergia S.A.D,"14,20 BRL","0,00%","1,51 M","0,06","223,75 B BRL","13,92","1,02 BRL","0,1577","7,56%",Consumo de Não Duráveis,Neutro
AFLT3Afluente Transmissao De Energia Eletrica SAD,"3,210 BRL","−0,62%","1,6 K","0,04","200,65 M BRL",—,"−20,32 BRL","−720,51%","0,00%",Produtor Manufatureiro,Neutro
AGRO3BrasilAgro Cia Brasileira de Propriedades AgricolasD,"7,22 BRL","−4,75%",100,"0,29","455,47 M BRL","13,07","0,55 BRL","0,5427","0,00%",Serviços Públicos,Neutro
AGXY3Agrogalaxy Participacoes SAD,"20,29 BRL","−0,39%","13,6 K","0,09","2,02 B BRL",—,"−0,24 BRL","−108,23%","3,70%",Financeiro,Neutro
ALLD3Allied Tecnologia SAD,"4,110 BRL","−0,96%",300,"0,02","56,33 M BRL","0,03","162,08 BRL",—,"0,00%",Serviços de Distribuição,Neutro
ALOS3Allos S.A.D,"8,230 BRL","0,0012","85,5 K","0,15","781,33 M BRL","2,27","3,63 BRL","1,2204","47,85%",Serviços de Tecnologia,Neutro
ALPA3Alpargatas SAD,"28,88 BRL","−0,31%","333,4 K","0,07","14,59 B BRL","19,7","1,47 BRL","0,0368","3,08%",Financeiro,Viés de alta forte
ALPK3Allpark Empreendimentos Participacoes e Servicos S.A.D,"10,45 BRL","0,00%","1,2 K","0,12","7,88 B BRL","19,33","0,54 BRL",—,"4,71%",Consumo de Não Duráveis,Viés de alta
ALUP3Alupar Investimento SAD,"4,500 BRL","0,00%","3,4 K","0,04","986,88 M BRL","714,29","0,01 BRL",—,"0,00%",Consumo de Serviços,Neutro
AMAR3Marisa Lojas S.A.D,"11,88 BRL","0,0059",800,"0,09","10,8 B BRL","10,07","1,18 BRL","0,1682","2,68%",Serviços Públicos,Neutro
AMBP3Ambipar Participacoes e Empreendimentos SAD,"1,03 BRL","0,0198","14,4 K","0,08","516,82 M BRL","32,91","0,03 BRL",—,"0,00%",Comércio de Varejo,Neutro
AMER3Americanas SAD,"0,28 BRL","0,00%","357,9 K","0,02","467,72 M BRL",—,"−0,15 BRL","0,2017","0,00%",Serviços Comerciais,Neutro
