id,Nome
AALR3,Allianca Saude e Participacoes SA - ALLIARD
ABEV3,Ambev SAD
AERI3,Aeris Industria e Comercio de Equipamentos para Geracao deEnergia S.A.D
AFLT3,Afluente Transmissao De Energia Eletrica SAD
AGRO3,BrasilAgro Cia Brasileira de Propriedades AgricolasD
AGXY3,Agrogalaxy Participacoes SAD
ALLD3,Allied Tecnologia SAD
ALOS3,Allos S.A.D
ALPA3,Alpargatas SAD
ALPK3,Allpark Empreendimentos Participacoes e Servicos S.A.D
ALUP3,Alupar Investimento SAD
AMAR3,Marisa Lojas S.A.D
AMBP3,Ambipar Participacoes e Empreendimentos SAD
AMER3,Americanas SAD
AMOB3,Automob Participacoes S.AD
ANIM3,Anima Holding SAD
ARML3,Armac Locacao Logistica e Servicos SAD
AARND,3Arandu Investimentos S.AD
ASAI3,Sendas Distribuidora SAD
ATED3,Atom Educacao e Editora S.A.D
AAUAU,3Uniao Pet Participacoes SAD
AURE3,Auren Energia SAD
AVLL3,Alphaville SAD
AXIA3,AXIA Energia SAD
AZEV3,Azevedo & Travassos SAD
AZTE3,Azevedo & Travassos Energia S.AD
AZZA3,Azzas 2154 SAD
B3SA3,B3 SA - Brasil Bolsa BalcaoD
BALM3,Baumer SAD
BAZA3,Banco da Amazonia S.A.D
BBAS3,Banco do Brasil S.A.D
BBDC3,Banco Bradesco SAD
BBSE3,BB Seguridade Participacoes SAD
BDLL3,Bardella SA Industrias MecanicasD
BEEF3,Minerva S.A.D
BEES3,Banestes S.A. - Banco do Estado do Espirito SantoD
BGIP3,Banco do Estado de Sergipe SA - BaneseD
BHIA3,Grupo Casas Bahia S.A.D
BIED3,Bioma Educacao SAD
BIOM3,Biomm SAD
BLAU3,Blau Farmaceutica SAD
BMEB3,BCO Mercantil do Brasil SAD
BMKS3,Bicicletas Monark S.A.D
BMOB3,Bemobi Mobile Tech SAD
BNBR3,Banco do Nordeste do Brasil S.A.D
BPAC3,Banco BTG Pactual SAD
BRAP3,Bradespar S.A.D
BRAV3,Brava Energia SAD
BRKM3,Braskem S.A.D
BRSR3,Banco do Estado do Rio Grande do Sul SAD
BRST3,Brisanet Servicos de Telecomunicacoes S.A.D
BSLI3,BRB Banco de Brasilia SAD
CALI3,Construtora Adolpho Lindenberg SAD
CAMB3,Cambuci SAD
CAML3,Camil Alimentos SAD
CASH3,Meliuz SAD
CBAV3,Companhia Brasileira de AluminioD
CBEE3,Ampla Energia e Servicos SAD
CCTY3,Belora RDVC City Desenvolvimento Imobiliario S.A.D
CEAB3,C&A Modas SAD
CEBR3,Companhia Energetica de Brasilia - CEBD
CEDO3,Cia. de Fiacao e Tecidos Cedro e CachoeiraD
