ID,Preço,Variação,Variação (%),Horário
AALR3,R$ 4,23,+0,070 Hoje,1,68%,22/01/2026 - 11:38:35
ABEV3,R$ 14,45,+0,14 Hoje,0,98%,22/01/2026 - 11:38:45
AERI3,R$ 3,17,0,00 Hoje,0,00%,22/01/2026 - 11:38:55
AFLT3,R$ 6,85,-0,53 Hoje,7,18%,22/01/2026 - 11:39:04
AGRO3,R$ 21,16,0,00 Hoje,0,00%,22/01/2026 - 11:39:14
AGXY3,R$ 3,99,+0,010 Hoje,0,25%,22/01/2026 - 11:39:23
ALLD3,R$ 8,55,+0,12 Hoje,1,42%,22/01/2026 - 11:39:34
ALOS3,R$ 29,38,+0,53 Hoje,1,85%,22/01/2026 - 11:39:45
ALPA3,R$ 10,48,+0,35 Hoje,3,46%,22/01/2026 - 11:39:54
ALPK3,R$ 4,59,-0,020 Hoje,0,43%,22/01/2026 - 11:40:04
ALUP3,R$ 12,19,+0,0100 Hoje,0,082%,22/01/2026 - 11:40:14
AMAR3,R$ 1,00,+0,010 Hoje,1,01%,22/01/2026 - 11:40:24
AMBP3,R$ 0,29,0,00 Hoje,0,00%,22/01/2026 - 11:40:33
AMER3,R$ 4,98,+0,22 Hoje,4,62%,22/01/2026 - 11:40:43
AMOB3,R$ 13,24,+0,040 Hoje,0,30%,22/01/2026 - 11:40:52
ANIM3,R$ 4,83,+0,41 Hoje,9,28%,22/01/2026 - 11:41:03
ARML3,R$ 4,48,+0,15 Hoje,3,46%,22/01/2026 - 11:41:13
AARND,info,ÍNDICE,,22/01/2026 - 11:41:22
ASAI3,R$ 7,88,+0,16 Hoje,2,07%,22/01/2026 - 11:41:32
ATED3,R$ 2,09,-0,010 Hoje,0,48%,22/01/2026 - 11:41:42
AAUAU,info,ÍNDICE,,22/01/2026 - 11:41:51
AURE3,R$ 12,07,+0,32 Hoje,2,72%,22/01/2026 - 11:42:00
AVLL3,R$ 0,84,-0,020 Hoje,2,33%,22/01/2026 - 11:42:10
AXIA3,R$ 54,17,+1,34 Hoje,2,54%,22/01/2026 - 11:42:20
AZEV3,R$ 0,36,0,00 Hoje,0,00%,22/01/2026 - 11:42:29
AZTE3,R$ 0,39,+0,020 Hoje,5,41%,22/01/2026 - 11:42:39
AZZA3,R$ 25,30,+0,55 Hoje,2,22%,22/01/2026 - 11:42:49
B3SA3,R$ 15,62,+0,12 Hoje,0,77%,22/01/2026 - 11:42:59
BALM3,R$ 30,00,1 dia,22 de jan., 10:00:00 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:43:08
BAZA3,R$ 76,29,+0,020 Hoje,0,026%,22/01/2026 - 11:43:18
BBAS3,R$ 22,78,+0,38 Hoje,1,70%,22/01/2026 - 11:43:27
BBDC3,R$ 17,24,+0,25 Hoje,1,47%,22/01/2026 - 11:43:37
BBSE3,R$ 36,58,+0,39 Hoje,1,08%,22/01/2026 - 11:43:47
BDLL3,R$ 7,11,1 dia,22 de jan., 10:00:00 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:43:59
BEEF3,R$ 5,98,+0,060 Hoje,1,01%,22/01/2026 - 11:44:10
BEES3,R$ 8,22,-0,050 Hoje,0,60%,22/01/2026 - 11:44:19
BGIP3,R$ 45,13,1 dia,22 de jan., 10:19:47 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:44:29
BHIA3,R$ 3,08,+0,14 Hoje,4,76%,22/01/2026 - 11:44:39
BIED3,R$ 5,60,+0,52 Hoje,10,24%,22/01/2026 - 11:44:49
BIOM3,R$ 6,08,+0,18 Hoje,3,05%,22/01/2026 - 11:44:59
BLAU3,R$ 9,19,+0,18 Hoje,2,00%,22/01/2026 - 11:45:09
BMEB3,R$ 46,95,1 dia,22 de jan., 11:11:10 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:45:18
BMKS3,R$ 380,56,-11,93 Hoje,3,04%,22/01/2026 - 11:45:28
BMOB3,R$ 24,41,+0,57 Hoje,2,39%,22/01/2026 - 11:45:38
BNBR3,R$ 116,00,1 dia,22 de jan., 11:14:12 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:45:47
BPAC3,R$ 38,44,-0,010 Hoje,0,026%,22/01/2026 - 11:45:57
BRAP3,R$ 20,35,+0,060 Hoje,0,30%,22/01/2026 - 11:46:07
BRAV3,R$ 17,77,+0,030 Hoje,0,17%,22/01/2026 - 11:46:17
BRKM3,R$ 8,90,+0,33 Hoje,3,85%,22/01/2026 - 11:46:26
BRSR3,R$ 18,00,0,00 Hoje,0,00%,22/01/2026 - 11:46:37
BRST3,R$ 3,48,+0,0100 Hoje,0,29%,22/01/2026 - 11:46:47
BSLI3,R$ 6,96,+0,40 Hoje,6,10%,22/01/2026 - 11:46:57
CALI3,R$ 17,25,1 dia,22 de jan., 10:00:00 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:47:07
CAMB3,R$ 9,38,+0,040 Hoje,0,43%,22/01/2026 - 11:47:17
CAML3,R$ 6,37,+0,040 Hoje,0,63%,22/01/2026 - 11:47:26
CASH3,R$ 4,09,+0,11 Hoje,2,76%,22/01/2026 - 11:47:36
CBAV3,R$ 9,01,-0,040 Hoje,0,44%,22/01/2026 - 11:47:46
CBEE3,R$ 10,80,1 dia,22 de jan., 11:08:24 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:47:55
CCTY3,R$ 12,00,1 dia,22 de jan., 10:00:00 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:48:05
CEAB3,R$ 11,48,+0,59 Hoje,5,42%,22/01/2026 - 11:48:14
CEBR3,R$ 29,60,0,00 Hoje,0,00%,22/01/2026 - 11:48:24
CEDO3,R$ 13,99,1 dia,22 de jan., 10:00:00 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:48:33
CEEB3,R$ 43,79,1 dia,22 de jan., 10:39:25 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:48:43
CEED3,R$ 8,95,1 dia,22 de jan., 10:00:00 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:48:53
CEGR3,R$ 53,50,1 dia,22 de jan., 10:00:00 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:49:02
CGAS3,R$ 130,00,+1,50 Hoje,1,17%,22/01/2026 - 11:49:11
CGRA3,R$ 26,65,+0,090 Hoje,0,34%,22/01/2026 - 11:49:21
CLSC3,R$ 107,05,1 dia,22 de jan., 11:19:42 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:49:31
CMIG3,R$ 14,78,+0,21 Hoje,1,44%,22/01/2026 - 11:49:40
CMIN3,R$ 5,80,+0,060 Hoje,1,05%,22/01/2026 - 11:49:50
COCE3,R$ 48,00,1 dia,22 de jan., 10:54:43 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:50:00
COGN3,R$ 4,31,+0,26 Hoje,6,42%,22/01/2026 - 11:50:10
